title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Wall-E,PS2,Platform,THQ,Asobo Studio,7.5,0.75,0.21,0.0,0.54,2008-06-24,2008.0
Spectrobes,DS,Role-Playing,Disney Interactive Studios,Jupiter Corporation,6.2,0.75,0.66,0.03,0.06,2007-03-06,2007.0
Zone of the Enders,PS2,Simulation,Konami,Konami Computer Entertainment Japan,7.5,0.75,0.3,0.24,0.08,2001-03-26,2001.0
FIFA 19,NS,Sports,Electronic Arts,EA Sports,5.9,0.75,0.18,0.47,0.05,2018-09-28,2018.0
Madden NFL 06,PSP,Sports,EA Sports,EA Tiburon,7.9,0.75,0.69,0.0,0.06,2005-09-20,2005.0
Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft,Ubisoft Montreal,5.8,0.75,0.42,0.2,0.13,2007-06-12,2007.0
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom,Capcom,7.9,0.75,0.22,0.17,0.06,2001-11-06,2001.0
Turok,X360,Shooter,Touchstone,Propaganda Games,6.6,0.75,0.46,0.2,0.07,2008-02-05,2008.0
Disney Infinity 2.0: Marvel Super Heroes,PS4,Action-Adventure,Disney Interactive Studios,Avalanche Software,8.0,0.75,0.37,0.25,0.13,2014-09-23,2014.0
Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive,IO Interactive,6.8,0.75,0.29,0.32,0.13,2007-11-13,2007.0
Coded Arms,PSP,Shooter,Konami,Konami,6.1,0.75,0.28,0.29,0.17,2005-07-06,2005.0
Drawn to Life: The Next Chapter,Wii,Puzzle,THQ,Planet Moon Studios,5.8,0.75,0.28,0.39,0.08,2009-10-27,2009.0
WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,Yuke's Media Creations,7.9,0.75,0.41,0.2,0.14,2008-11-09,2008.0
The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,Pandemic Studios,5.8,0.75,0.38,0.26,0.11,2009-01-13,2009.0
Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,Game Republic,5.0,0.75,0.18,0.38,0.14,2006-11-14,2006.0
The Amazing Spider-Man (2012),X360,Action-Adventure,Activision,Beenox,6.8,0.74,0.43,0.24,0.07,2012-06-26,2012.0
Ace Combat: Assault Horizon,PS3,Action,Namco Bandai,Project ACES,7.5,0.74,0.3,0.16,0.07,2011-10-11,2011.0
X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,Raven Software,7.0,0.74,0.31,0.31,0.12,2009-05-01,2009.0
Sega Superstars Tennis,DS,Sports,Sega,Sumo Digital,6.2,0.74,0.29,0.37,0.08,2008-03-18,2008.0
Red Faction: Guerrilla,PS3,Shooter,THQ,Volition Inc.,8.6,0.74,0.33,0.27,0.12,2009-06-02,2009.0
Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision,Vicarious Visions,7.8,0.74,0.49,0.16,0.09,2009-09-15,2009.0
Resonance of Fate,PS3,Role-Playing,Sega,tri-Ace,7.5,0.74,0.2,0.22,0.08,2010-03-16,2010.0
Tales of Vesperia,X360,Role-Playing,Namco Bandai,Namco Tales Studio,8.1,0.74,0.32,0.18,0.05,2008-08-26,2008.0
Need for Speed (2015),XOne,Racing,Electronic Arts,Ghost Games,6.7,0.74,0.35,0.33,0.06,2015-11-03,2015.0
Mortal Kombat: Unchained,PSP,Fighting,Midway Games,JGI Entertainment,7.0,0.74,0.67,0.01,0.06,2006-11-15,2006.0
