title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
Dragon Ball Z: Supersonic Warriors,GBA,Fighting,Atari,Banpresto,7.1,0.51,0.36,0.13,0.01,2004-06-22,2004.0
SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai,Project Soul,8.0,0.51,0.12,0.2,0.12,2009-09-01,2009.0
Bleach: Soul Resurreccion,PS3,Fighting,NIS America,Eighting,6.7,0.51,0.27,0.11,0.06,2011-08-03,2011.0
Halo Wars 2,XOne,Strategy,Microsoft Studios,Creative Assembly,7.0,0.51,0.31,0.15,0.05,2017-02-21,2017.0
DC Universe Online,PS3,MMO,Sony Online Entertainment,WBIE,6.5,0.51,0.35,0.11,0.06,2011-01-11,2011.0
NHL 07,PS2,Sports,EA Sports,EA Montreal,7.2,0.51,0.42,0.02,0.07,2006-09-12,2006.0
Goldeneye 007: Reloaded,X360,Shooter,Activision,Eurocom,7.4,0.5,0.25,0.2,0.05,2011-11-01,2011.0
Wet,X360,Shooter,Bethesda Softworks,Artificial Mind and Movement,6.9,0.5,0.23,0.21,0.05,2009-09-15,2009.0
Steel Diver,3DS,Action,Nintendo,Nintendo EAD,5.6,0.5,0.31,0.1,0.04,2011-03-27,2011.0
Rock Band Unplugged,PSP,Misc,MTV Games,Backbone Entertainment / Harmonix Music Systems,8.0,0.5,0.25,0.15,0.11,2009-06-09,2009.0
Madden NFL 07,Wii,Sports,EA Sports,HB Studios,8.2,0.5,0.46,0.0,0.04,2006-11-14,2006.0
NHL 09,X360,Sports,Electronic Arts,EA Canada,9.0,0.5,0.45,0.01,0.04,2008-09-09,2008.0
Pokémon Art Academy,3DS,Misc,Nintendo,Headstrong Games,7.8,0.5,0.18,0.12,0.03,2014-10-24,2014.0
Tactics Ogre: The Knight of Lodis,GBA,Role-Playing,Atlus,Quest Corporation,8.5,0.5,0.13,0.05,0.01,2002-05-11,2002.0
Tiger Woods PGA Tour 07,PS3,Sports,EA Sports,EA Redwood Shores,8.1,0.5,0.31,0.12,0.07,2006-11-14,2006.0
Dragon Age: Origins,PC,Role-Playing,Electronic Arts,BioWare Corp.,9.1,0.5,0.0,0.46,0.04,2009-11-03,2009.0
Burnout Revenge,X360,Racing,Electronic Arts,Criterion,8.8,0.5,0.42,0.04,0.04,2006-03-07,2006.0
Picross DS,DS,Puzzle,Nintendo,Jupiter Multimedia,8.4,0.5,0.17,0.02,0.02,2007-07-30,2007.0
Picross 3D,DS,Puzzle,Nintendo,HAL Laboratory,8.7,0.5,0.28,0.03,0.03,2010-05-03,2010.0
Bully: Scholarship Edition,Wii,Action,Rockstar Games,Rockstar Toronto,8.4,0.5,0.17,0.28,0.06,2008-03-04,2008.0
Tony Hawk's Underground 2,GC,Sports,Activision,Neversoft Entertainment,8.6,0.5,0.38,0.1,0.01,2004-10-04,2004.0
Avatar: The Last Airbender,GC,Adventure,THQ,AWE Games,5.5,0.5,0.39,0.1,0.01,2006-10-10,2006.0
Alice: Madness Returns,X360,Adventure,Electronic Arts,Spicy Horse,6.9,0.5,0.27,0.15,0.04,2011-06-14,2011.0
Ratatouille,Wii,Platform,THQ,Asobo Studio,6.5,0.5,0.43,0.03,0.04,2007-06-26,2007.0
Epic Mickey: Power of Illusion,3DS,Platform,Disney Interactive Studios,DreamRift,6.6,0.5,0.36,0.05,0.04,2012-11-18,2012.0
Pro Evolution Soccer 2012,X360,Sports,Konami,Konami,7.7,0.5,0.1,0.34,0.06,2011-09-27,2011.0
Hometown Story,3DS,Simulation,Natsume,Toy Box,5.5,0.5,0.29,0.13,0.04,2013-10-22,2013.0
Dead or Alive Ultimate,XB,Fighting,Tecmo,Team Ninja,8.1,0.5,0.3,0.1,0.02,2004-10-26,2004.0
Transformers: War for Cybertron,PS3,Action,Activision,High Moon Studios,7.8,0.5,0.24,0.18,0.07,2010-06-22,2010.0
Hitman: Blood Money,PS2,Action,Eidos Interactive,IO Interactive,8.2,0.5,0.25,0.19,0.06,2006-05-30,2006.0
WWE SmackDown vs. RAW 2007,X360,Fighting,THQ,Yuke's,8.0,0.5,0.44,0.03,0.04,2006-11-14,2006.0
R.U.S.E.,PS3,Strategy,Ubisoft,Eugen Systems,8.0,0.5,0.18,0.22,0.08,2010-09-07,2010.0
Super Monkey Ball 3D,3DS,Action,Sega,Sega,5.7,0.5,0.26,0.15,0.04,2011-03-27,2011.0
Spider-Man 2,DS,Action,Activision,Vicarious Visions,6.1,0.5,0.41,0.02,0.04,2004-11-16,2004.0
Fire Emblem: Radiant Dawn,Wii,Strategy,Nintendo,Intelligent Systems,7.7,0.49,0.27,0.03,0.03,2007-11-05,2007.0
Kane & Lynch 2: Dog Days,X360,Shooter,Square Enix,IO Interactive,6.4,0.49,0.2,0.23,0.05,2010-08-17,2010.0
Ace Combat: Assault Horizon,X360,Action,Namco Bandai,Project ACES,7.0,0.49,0.3,0.12,0.04,2011-10-11,2011.0
The Matrix: Path of Neo,PS2,Action,Atari,Shiny Entertainment,6.8,0.49,0.41,0.01,0.07,2005-11-07,2005.0
Dynasty Warriors: Gundam 2,PS3,Action,Namco Bandai,Omega Force,5.9,0.49,0.09,0.07,0.03,2009-04-21,2009.0
Dragon Ball Z: Burst Limit,X360,Fighting,Atari,Dimps Corporation,7.3,0.49,0.24,0.18,0.05,2008-06-10,2008.0
Animal Crossing: Amiibo Festival,WiiU,Party,Nintendo,"Nd Cube Co., Ltd.",4.8,0.49,0.23,0.12,0.04,2015-11-13,2015.0
MotorStorm: Apocalypse,PS3,Racing,Sony Computer Entertainment,Evolution Studios,7.6,0.49,0.21,0.2,0.08,2011-05-03,2011.0
Asphalt 3D,3DS,Racing,Ubisoft,Konami,4.0,0.49,0.27,0.16,0.04,2011-03-22,2011.0
F1 2012,X360,Racing,Codemasters,Codemasters Birmingham,8.5,0.49,0.1,0.34,0.05,2012-09-18,2012.0
Crazy Taxi,GC,Racing,Acclaim Entertainment,Hitmaker,7.2,0.49,0.36,0.09,0.01,2001-11-17,2001.0
DiRT 4,PS4,Racing,Deep Silver,Codemasters,8.6,0.49,0.1,0.3,0.07,2017-06-06,2017.0
Babysitting Mama,Wii,Simulation,Majesco,Cooking Mama Limited,3.8,0.49,0.33,0.12,0.04,2010-11-16,2010.0
Alone in the Dark,X360,Adventure,Atari,Eden Studios,6.3,0.49,0.14,0.3,0.05,2008-06-23,2008.0
Story of Seasons: Trio of Towns,3DS,Simulation,Marvelous Interactive,Marvelous Entertainment,7.9,0.49,0.19,0.06,0.03,2017-02-28,2017.0
FIFA 13,WiiU,Sports,EA Sports,EA Canada,7.0,0.49,0.18,0.28,0.04,2012-11-18,2012.0
Mario Golf: World Tour,3DS,Sports,Nintendo,Camelot Software Planning,8.1,0.49,0.14,0.15,0.03,2014-05-02,2014.0
Tony Hawk's Project 8,X360,Sports,Activision,Neversoft Entertainment,8.4,0.49,0.44,0.02,0.04,2006-11-07,2006.0
Star Wars Battlefront (2015),PC,Shooter,Electronic Arts,EA DICE,7.5,0.49,0.13,0.33,0.04,2015-11-17,2015.0
Resident Evil: The Mercenaries 3D,3DS,Shooter,Capcom,Capcom,6.3,0.49,0.16,0.17,0.03,2011-06-28,2011.0
Star Wars Battlefront: Elite Squadron,DS,Shooter,LucasArts,n-Space,5.9,0.49,0.42,0.04,0.04,2009-11-03,2009.0
Dark Sector,X360,Shooter,D3 Publisher,Digital Extremes,7.1,0.48,0.22,0.2,0.05,2008-03-25,2008.0
Far Cry 2,PC,Shooter,Ubisoft,Ubisoft Montreal,8.4,0.48,0.01,0.45,0.02,2008-10-21,2008.0
Cars 2,X360,Racing,Disney Interactive Studios,Avalanche Software,7.5,0.48,0.28,0.15,0.05,2011-06-21,2011.0
Children of Mana,DS,Role-Playing,Nintendo,Next Entertainment,7.0,0.48,0.16,0.01,0.01,2006-11-01,2006.0
Harvest Moon 64,N64,Simulation,Natsume,Toy Box Studios,7.8,0.48,0.25,0.06,0.06,1999-11-30,1999.0
The Saboteur,PS3,Action,Electronic Arts,Pandemic Studios,7.1,0.48,0.2,0.21,0.07,2009-12-08,2009.0
Sonic Lost World,3DS,Platform,Sega,Dimps Corporation,5.2,0.48,0.22,0.15,0.04,2013-10-29,2013.0
You're in the Movies,X360,Misc,Microsoft,Zoe Mode,5.1,0.48,0.27,0.17,0.05,2008-11-17,2008.0
Crazy Taxi: Fare Wars,PSP,Racing,Sega,Sniper Studios,6.3,0.48,0.1,0.23,0.13,2007-08-07,2007.0
Tiger Woods PGA Tour 07,X360,Sports,EA Sports,EA Redwood Shores,8.2,0.48,0.44,0.0,0.04,2006-10-17,2006.0
Atelier Rorona: Alchemist of Arland,PS3,Role-Playing,NIS America,Gust,6.4,0.48,0.22,0.1,0.05,2014-06-24,2014.0
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,Role-Playing,Konami,KCEJ,6.3,0.48,0.0,0.0,0.03,2002-03-20,2002.0
Theme Park Roller Coaster,PS2,Strategy,Electronic Arts,Bullfrog Productions,7.9,0.48,0.23,0.18,0.06,2000-12-04,2000.0
Alice in Wonderland,DS,Adventure,Disney Interactive Studios,Etranges Libellules,7.0,0.48,0.25,0.18,0.05,2010-03-02,2010.0
FIFA World Cup Germany 2006,X360,Sports,EA Sports,EA Canada,7.8,0.48,0.19,0.27,0.0,2006-04-24,2006.0
A Way Out,PS4,Action,Electronic Arts,Hazelight,7.5,0.48,0.23,0.16,0.08,2018-03-23,2018.0
Unreal Tournament III,X360,Shooter,Midway Games,Epic Games,7.8,0.47,0.25,0.17,0.05,2008-07-07,2008.0
Silent Hill: Shattered Memories,Wii,Adventure,Konami,Climax Group,7.3,0.47,0.22,0.19,0.05,2009-12-08,2009.0
Shadowrun (2007),X360,Shooter,Microsoft Game Studios,FASA Studio,6.3,0.47,0.41,0.02,0.04,2007-05-29,2007.0
Dark Sector,PS3,Shooter,D3 Publisher,Digital Extremes,7.2,0.47,0.23,0.16,0.07,2008-03-25,2008.0
F.E.A.R. 2: Project Origin,PS3,Shooter,Warner Bros. Interactive,Monolith Productions,8.2,0.47,0.19,0.2,0.08,2009-02-10,2009.0
Petz Sports,Wii,Simulation,Ubisoft,Ubisoft Montreal,5.0,0.47,0.42,0.01,0.04,2008-11-04,2008.0
Dance Dance Revolution: Mario Mix,GC,Simulation,Nintendo,Konami,7.0,0.47,0.36,0.09,0.01,2005-10-24,2005.0
Dead Space Extraction,Wii,Shooter,Electronic Arts,Visceral Games,8.2,0.47,0.32,0.1,0.04,2009-09-28,2009.0
Doom 64,N64,Shooter,Midway Games,Midway Studios San Diego,7.4,0.47,0.38,0.08,0.01,1997-03-31,1997.0
Dragon Age Origins: Awakening,X360,Role-Playing,Electronic Arts,BioWare Corp.,8.3,0.47,0.33,0.1,0.04,2010-03-16,2010.0
Quest 64,N64,Role-Playing,THQ,Imagineer,5.4,0.47,0.38,0.08,0.01,1998-06-11,1998.0
Final Fantasy Crystal Chronicles: Echoes of Time,DS,Role-Playing,Square Enix,Square Enix,7.7,0.47,0.12,0.06,0.02,2009-03-24,2009.0
Sonic Mania,NS,Platform,Sega,PagodaWest Games,8.8,0.47,0.23,0.18,0.04,2017-08-15,2017.0
Spider-Man 3,DS,Platform,Activision,Vicarious Visions,8.0,0.47,0.41,0.02,0.04,2007-05-04,2007.0
Spider-Man 3,Wii,Platform,Activision,Vicarious Visions,4.8,0.47,0.42,0.02,0.04,2007-05-04,2007.0
Two Worlds II,PS3,Role-Playing,SouthPeak Interactive,Reality Pump,6.5,0.47,0.26,0.1,0.04,2011-01-25,2011.0
Dynasty Warriors Gundam,PS3,Action,Namco Bandai,Omega Force,6.4,0.47,0.14,0.01,0.02,2007-08-28,2007.0
Tiger Woods PGA Tour 07,Wii,Sports,EA Sports,EA Redwood Shores,7.1,0.47,0.43,0.0,0.04,2007-03-13,2007.0
Need for Speed Carbon,XB,Racing,Electronic Arts,EA Black Box,7.9,0.47,0.35,0.1,0.02,2006-10-31,2006.0
Knack 2,PS4,Platform,Sony Interactive Entertainment,SIE Japan Studio,6.7,0.47,0.14,0.25,0.07,2017-09-05,2017.0
James Bond 007: Blood Stone,X360,Action,Activision,Bizarre Creations,6.2,0.47,0.2,0.23,0.05,2010-11-02,2010.0
NBA Live 07,X360,Sports,EA Sports,EA Canada,6.0,0.47,0.43,0.0,0.04,2006-09-25,2006.0
2010 FIFA World Cup South Africa,PSP,Sports,EA Sports,EA Canada,6.8,0.47,0.09,0.23,0.12,2010-04-27,2010.0
Viva Pinata: Trouble in Paradise,X360,Simulation,Microsoft Game Studios,Rare Ltd.,8.5,0.47,0.16,0.25,0.05,2008-09-02,2008.0
FlingSmash,Wii,Action,Nintendo,Artoon,3.8,0.47,0.37,0.01,0.02,2010-11-07,2010.0
Spider-Man: Friend or Foe,DS,Action,Activision,Artificial Mind and Movement,5.3,0.47,0.43,0.0,0.04,2007-10-02,2007.0
Detective Pikachu,3DS,Adventure,Nintendo,Creatures Inc.,7.1,0.47,0.15,0.17,0.03,2018-03-23,2018.0
"Warhammer 40,000: Dawn of War II",PC,Strategy,THQ,Relic,8.7,0.47,0.0,0.45,0.01,2009-02-19,2009.0
Alien Trilogy,PS,Shooter,Acclaim Entertainment,Probe Entertainment Limited,8.0,0.47,0.24,0.16,0.03,1997-09-01,1997.0
Luigi's Mansion,3DS,Adventure,Nintendo,GREZZO,7.3,0.47,0.19,0.16,0.03,2018-10-12,2018.0
Just Dance 2014,PS4,Music,Ubisoft,Ubisoft Paris,7.5,0.47,0.21,0.18,0.08,2013-11-15,2013.0
ICO,PS2,Adventure,Sony Computer Entertainment,Team ICO,8.8,0.47,0.23,0.18,0.06,2001-09-24,2001.0
Fantavision,PS2,Puzzle,Sony Computer Entertainment,SCEI,8.0,0.47,0.14,0.11,0.04,2000-10-25,2000.0
Mario Sports Superstars,3DS,Sports,Nintendo,Namco Bandai Games,6.0,0.46,0.18,0.12,0.03,2017-03-24,2017.0
Mega Man Star Force 3: Black Ace / Red Joker,DS,Role-Playing,Capcom,Capcom,5.7,0.46,0.22,0.0,0.02,2009-06-30,2009.0
ATV Offroad Fury Pro,PSP,Racing,Sony Computer Entertainment,Climax Group,7.6,0.46,0.37,0.04,0.04,2006-10-26,2006.0
Metal Gear Solid: The Essential Collection,PS2,Adventure,Konami,Konami Computer Entertainment Japan,9.0,0.46,0.23,0.18,0.06,2008-03-18,2008.0
FIFA Soccer 12,PC,Sports,EA Sports,EA Canada,9.1,0.46,0.04,0.33,0.09,2011-09-27,2011.0
The Golden Compass,X360,Adventure,Sega,Shiny Entertainment,4.4,0.46,0.3,0.12,0.04,2007-12-04,2007.0
Dragon Ball Z: Collectible Card Game,GBA,Misc,Infogrames,Magellan Interactive,6.0,0.46,0.33,0.12,0.01,2002-05-29,2002.0
MX vs. ATV: Alive,PS3,Racing,THQ,Rainbow Studios,6.9,0.46,0.24,0.15,0.07,2011-05-10,2011.0
Need for Speed: Hot Pursuit,Wii,Racing,Electronic Arts,Exient Entertainment,5.0,0.46,0.17,0.24,0.05,2010-11-16,2010.0
Crash Nitro Kart,GBA,Racing,Vivendi Games,Vicarious Visions,7.7,0.46,0.33,0.12,0.01,2003-11-11,2003.0
State of Decay 2,XOne,Action-Adventure,Microsoft Studios,Undead Labs,7.0,0.46,0.27,0.14,0.04,2018-05-22,2018.0
Bloody Roar II,PS,Fighting,Sony Computer Entertainment,Eighting / Raizing,8.2,0.46,0.25,0.17,0.03,1999-04-30,1999.0
Mat Hoffman's Pro BMX 2,PS2,Sports,Activision,Rainbow Studios,8.1,0.46,0.23,0.18,0.06,2002-08-12,2002.0
Tales of Vesperia,PS3,Role-Playing,Namco Bandai,Namco Tales Studio,8.0,0.46,0.0,0.0,0.0,2009-09-17,2009.0
Classic NES Series: Pac-Man,GBA,Puzzle,Nintendo,Nintendo,5.7,0.46,0.25,0.09,0.01,2004-06-02,2004.0
Jak and Daxter: The Lost Frontier,PS2,Platform,Sony Computer Entertainment,High Impact Games,7.5,0.46,0.22,0.17,0.06,2009-11-03,2009.0
Disney's Kim Possible 3: Team Possible,GBA,Platform,Disney Interactive Studios,Artificial Mind and Movement,9.0,0.46,0.33,0.12,0.01,2005-08-21,2005.0
Tomb Raider: Legend,PSP,Action,Eidos Interactive,Buzz Monkey,7.2,0.46,0.09,0.25,0.12,2006-06-21,2006.0
Boom Blox Bash Party,Wii,Puzzle,Electronic Arts,EA Los Angeles,8.8,0.46,0.33,0.09,0.04,2009-05-19,2009.0
Brothers In Arms: D-Day,PSP,Shooter,Ubisoft,Gearbox Software,6.8,0.46,0.23,0.14,0.09,2006-12-05,2006.0
Red Faction: Armageddon,PS3,Shooter,THQ,Volition Inc.,7.0,0.46,0.2,0.15,0.07,2011-06-07,2011.0
Syphon Filter: Logan's Shadow,PSP,Shooter,Sony Computer Entertainment,SCEA Bend Studio,8.4,0.46,0.25,0.12,0.09,2007-10-02,2007.0
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,Omega Force,8.0,0.46,0.21,0.15,0.03,2018-05-18,2018.0
.hack//Outbreak Part 3,PS2,Role-Playing,Bandai,CyberConnect2,7.1,0.46,0.14,0.11,0.04,2003-09-09,2003.0
Iridion 3D,GBA,Shooter,Majesco,Shin'en GmbH,5.6,0.46,0.33,0.12,0.01,2001-05-29,2001.0
Area 51,PS2,Shooter,Midway Games,Midway Studios Austin,7.7,0.45,0.22,0.17,0.06,2005-04-25,2005.0
Enemy Territory: Quake Wars,X360,Shooter,Activision,Nerve Software,6.7,0.45,0.3,0.11,0.04,2008-05-27,2008.0
Vandal Hearts,PS,Role-Playing,Konami,Konami Computer Entertainment Tokyo,7.7,0.45,0.14,0.09,0.03,1997-03-27,1997.0
"Warhammer 40,000: Space Marine",PS3,Shooter,THQ,Relic Entertainment,7.3,0.45,0.13,0.24,0.08,2011-09-06,2011.0
PES 2009: Pro Evolution Soccer,Wii,Sports,Konami,Konami,8.4,0.45,0.09,0.26,0.05,2009-03-17,2009.0
F.E.A.R. 3,PS3,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.21,0.16,0.07,2011-06-21,2011.0
Phantasy Star Online Episode I & II,GC,Role-Playing,Sega,Sonic Team,8.2,0.45,0.23,0.06,0.01,2002-10-29,2002.0
Enter the Matrix,GC,Action,Atari,Shiny Entertainment,6.5,0.45,0.34,0.09,0.01,2003-05-14,2003.0
Bleach: The Blade of Fate,DS,Fighting,Sega,"Treasure Co., Ltd.",8.2,0.45,0.29,0.01,0.03,2007-10-09,2007.0
Apocalypse,PS,Action,Activision,Neversoft Entertainment,6.7,0.45,0.25,0.17,0.03,1998-10-31,1998.0
Band Hero,DS,Misc,Activision,Vicarious Visions,6.3,0.45,0.22,0.19,0.05,2009-11-03,2009.0
The Powerpuff Girls: Relish Rampage,PS2,Action,BAM! Entertainment,VIS Entertainment,3.8,0.45,0.22,0.17,0.06,2002-11-24,2002.0
L.A. Noire,NS,Adventure,Rockstar Games,Team Bondi,7.9,0.45,0.21,0.21,0.04,2017-11-14,2017.0
Worms: Open Warfare 2,PSP,Strategy,THQ,Team17 Software / Two Tribes,8.1,0.45,0.04,0.27,0.14,2007-09-04,2007.0
Sid Meier's Civilization Revolution,DS,Strategy,2K Games,Firaxis,8.2,0.45,0.37,0.03,0.03,2008-07-08,2008.0
Dynasty Warriors: Strikeforce,PSP,Action,Tecmo Koei,Omega Force,6.4,0.45,0.03,0.02,0.02,2009-04-28,2009.0
Lego Batman 3: Beyond Gotham,WiiU,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,0.45,0.21,0.21,0.04,2014-11-11,2014.0
Command & Conquer: Red Alert 3,X360,Strategy,Bethesda Softworks,EA Los Angeles,7.4,0.45,0.18,0.23,0.05,2008-11-11,2008.0
Tomb Raider: Underworld,Wii,Adventure,Eidos Interactive,Crystal Dynamics,6.3,0.45,0.13,0.27,0.05,2008-11-18,2008.0
Tekken Advance,GBA,Fighting,Namco,Eighting / Raizing,8.3,0.45,0.32,0.12,0.01,2002-01-28,2002.0
The Sims 3: Ambitions,PC,Simulation,Electronic Arts,EA Redwood Shores,7.9,0.45,0.0,0.29,0.16,2010-06-01,2010.0
Style Savvy: Styling Star,3DS,Simulation,Nintendo,syn Sophia,8.5,0.45,0.0,0.29,0.02,2017-12-25,2017.0
Bee Movie Game,DS,Action,Activision,Vicarious Visions,6.0,0.45,0.41,0.0,0.03,2007-10-30,2007.0
TNA iMPACT!,X360,Fighting,Midway Games,Midway Studios Los Angeles,6.4,0.45,0.26,0.15,0.04,2008-09-09,2008.0
WWE Day of Reckoning,GC,Fighting,THQ,Yuke's Future Media Creators,8.1,0.45,0.35,0.09,0.01,2004-08-30,2004.0
Scooby-Doo! and the Spooky Swamp,Wii,Action,Warner Bros. Interactive,Torus Games,7.6,0.45,0.29,0.13,0.04,2010-09-14,2010.0
Hot Wheels: Stunt Track Challenge,GBA,Racing,THQ,Climax Group,5.3,0.45,0.32,0.12,0.01,2004-11-10,2004.0
Vin Diesel: Wheelman,X360,Racing,Ubisoft,Tigon,6.7,0.45,0.24,0.17,0.04,2009-03-24,2009.0
Burnout Dominator,PSP,Racing,Electronic Arts,Criterion Games,7.8,0.45,0.02,0.38,0.05,2007-03-06,2007.0
Silent Hill: Homecoming,X360,Action,Konami,Double Helix Games,7.6,0.45,0.25,0.15,0.04,2008-09-30,2008.0
Shin Megami Tensei: Persona 3,PS2,Role-Playing,Atlus,Atlus Co.,8.7,0.45,0.22,0.03,0.2,2007-08-14,2007.0
Persona,PS,Role-Playing,Atlus,Atlus Co.,8.1,0.45,0.0,0.0,0.03,1996-01-01,1996.0
LEGO Rock Band,DS,Misc,Warner Bros. Interactive,TT Games / Harmonix Music Systems,8.4,0.45,0.32,0.09,0.04,2009-11-03,2009.0
F.E.A.R. 3,X360,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.3,0.11,0.04,2011-06-21,2011.0
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,Sony Computer Entertainment,Slant Six Games,7.5,0.45,0.17,0.13,0.09,2010-02-16,2010.0
NBA Live 2005,GC,Sports,EA Sports,EA Canada,8.5,0.45,0.35,0.09,0.01,2004-09-28,2004.0
Virtua Tennis 4,PS3,Sports,Sega,Sega-AM2,6.4,0.45,0.09,0.24,0.08,2011-05-10,2011.0
Blood Omen: Legacy of Kain,PS,Role-Playing,Crystal Dynamics,Silicon Knights,7.8,0.44,0.25,0.17,0.03,1996-11-14,1996.0
Eternal Sonata,PS3,Role-Playing,Namco Bandai,Tri-Crescendo,8.3,0.44,0.19,0.12,0.05,2008-10-21,2008.0
Hyperdimension Neptunia,PS3,Role-Playing,NIS America,Compile Heart,5.3,0.44,0.22,0.1,0.04,2011-02-15,2011.0
Need for Speed: Shift 2 Unleashed,X360,Racing,Electronic Arts,Slightly Mad Studios,8.5,0.44,0.18,0.21,0.05,2011-03-29,2011.0
The Darkness,X360,Shooter,2K Games,Starbreeze,8.3,0.44,0.36,0.04,0.03,2007-06-25,2007.0
Resistance: Burning Skies,PSV,Shooter,Sony Computer Entertainment,Nihilistic Software,4.8,0.44,0.18,0.16,0.08,2012-05-29,2012.0
Battlefield 2: Modern Combat,PS2,Shooter,Electronic Arts,Digital Illusions,7.6,0.44,0.37,0.01,0.06,2005-10-24,2005.0
Crash: Mind Over Mutant,Wii,Platform,Activision,Radical Entertainment,7.5,0.44,0.35,0.06,0.03,2008-10-07,2008.0
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft,7.6,0.44,0.34,0.01,0.04,2011-08-23,2011.0
X-Men Legends II: Rise of Apocalypse,XB,Role-Playing,Activision,Raven Software,8.3,0.44,0.3,0.12,0.02,2005-09-20,2005.0
SingStar Queen,PS3,Misc,Sony Computer Entertainment,SCEE London Studio,6.8,0.44,0.11,0.25,0.07,2009-08-04,2009.0
Samurai Warriors 3,Wii,Action,Nintendo,Omega Force,5.1,0.44,0.09,0.02,0.01,2010-09-27,2010.0
Battlebots: Design & Destroy,GBA,Action,Majesco,Cave Barn,4.0,0.44,0.31,0.12,0.01,2003-08-31,2003.0
Naughty Bear,PS3,Action,505 Games,Artificial Mind and Movement,4.5,0.44,0.18,0.18,0.07,2010-06-29,2010.0
Hey! Pikmin,3DS,Platform,Nintendo,Arzest,6.8,0.44,0.17,0.08,0.03,2017-07-28,2017.0
Major League Baseball 2K6,PS2,Sports,2K Sports,Kush Games,7.3,0.44,0.37,0.01,0.06,2006-04-03,2006.0
G-Force,Wii,Action,Disney Interactive Studios,Eurocom Entertainment Software,7.5,0.44,0.19,0.2,0.05,2009-07-21,2009.0
Wario World,GC,Platform,Nintendo,"Treasure Co., Ltd.",7.5,0.44,0.34,0.09,0.01,2003-06-24,2003.0
Yu-Gi-Oh! 5D's Tag Force 4,PSP,Strategy,Konami,Konami,7.0,0.44,0.19,0.07,0.05,2009-11-17,2009.0
Story of Seasons,3DS,Misc,Xseed Games,Marvelous,7.7,0.44,0.0,0.15,0.01,2015-03-31,2015.0
Tetris Axis,3DS,Puzzle,Nintendo,Hudson Soft,7.8,0.44,0.2,0.14,0.03,2011-10-02,2011.0
LEGO DC Super-Villains,NS,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,7.8,0.44,0.28,0.12,0.04,2018-10-16,2018.0
Madden NFL 12,Wii,Sports,EA Sports,EA Tiburon,7.0,0.44,0.41,0.0,0.03,2011-08-30,2011.0
LEGO Star Wars II: The Original Trilogy,XB,Action,LucasArts,Traveller's Tales,8.3,0.44,0.33,0.1,0.02,2006-09-12,2006.0
Viking: Battle for Asgard,X360,Action,Sega,The Creative Assembly,6.2,0.44,0.16,0.23,0.05,2008-03-25,2008.0
2014 FIFA World Cup Brazil,X360,Sports,EA Sports,EA Canada,7.3,0.44,0.15,0.25,0.03,2014-04-15,2014.0
Chocobo Racing,PS,Racing,Square EA,SquareSoft,5.4,0.44,0.07,0.05,0.03,1999-07-31,1999.0
Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,6.7,0.44,0.2,0.12,0.03,2016-04-22,2016.0
Child of Eden,X360,Shooter,Ubisoft,Q Entertainment,8.3,0.44,0.28,0.12,0.04,2011-06-14,2011.0
NBA 2K18,NS,Sports,2K Sports,Visual Concepts,7.5,0.43,0.3,0.06,0.04,2017-09-19,2017.0
Madden NFL 2003,GC,Sports,EA Sports,EA Tiburon,9.1,0.43,0.33,0.09,0.01,2002-08-12,2002.0
Rocksmith 2014,XOne,Music,Ubisoft,Ubisoft San Francisco,9.0,0.43,0.31,0.08,0.04,2016-10-04,2016.0
Primal,PS2,Action,Sony Computer Entertainment,SCEE Cambridge,7.1,0.43,0.21,0.17,0.06,2003-03-25,2003.0
Def Jam Icon,PS3,Action,Electronic Arts,Unknown,6.6,0.43,0.16,0.19,0.07,2007-03-06,2007.0
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,NIS America,Gust,7.8,0.43,0.12,0.07,0.03,2011-09-27,2011.0
NiGHTS into dreams...,SAT,Platform,Sega,Sonic Team,9.1,0.43,0.0,0.0,0.0,1996-08-01,1996.0
Need for Speed Underground 2,GBA,Racing,Electronic Arts,Pocketeers,6.5,0.43,0.31,0.12,0.01,2004-11-15,2004.0
Sin and Punishment: Star Successor,Wii,Shooter,Nintendo,"Treasure Co., Ltd.",8.4,0.43,0.19,0.14,0.03,2010-06-27,2010.0
Doom (2016),NS,Shooter,Bethesda Softworks,id Software,8.2,0.43,0.24,0.15,0.04,2017-11-10,2017.0
OkamiDen,DS,Adventure,Capcom,Capcom,8.3,0.43,0.21,0.07,0.02,2011-03-15,2011.0
007: Quantum of Solace,PS2,Shooter,Activision,Treyarch,7.8,0.43,0.17,0.0,0.26,2008-11-04,2008.0
